capacity,city,facility_address1,facility_address2,facility_name,gps,latitude,longitude,owner_addr,owner_addr2,owner_city,owner_if_private,owner_phone,owner_state,owner_zip,phone_number,security,serialid,state,type,zip
,,,,Correctional Alternative Placement Program (CAPP),"43 27.706', -116 14.133'",43.4617667,-116.23555,500 N. Market Place Drive,P.O. Box 10,Centerville,Management and Training Corporation,(801) 693-2600,Utah,84014,(208) 336-9959,,376,Idaho,Contract Facility,
802,Leavenworth,100 Highway Terrace,,Leavenworth Detention Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(913) 727-3246,maximum,466,Kansas,Contract Facility,66048
826,St. Mary,95 Raywick Road,,Marion Adjustment Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(270) 692-9622,minimum,485,Kentucky,Contract Facility,40063
866,Beattyville,168 Lee Adjustment Center Drive,,Lee Adjustment Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(606) 464-2866,minimum to medium,486,Kentucky,Contract Facility,41311
"2,672",Tutwiler,,,Tallahatchie County Correctional Facility,"34 1.618', -90 26.727'",34.0269667,-90.44545,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(622) 345-6567,medium,632,Mississippi,Contract Facility,38963
,Shelby,50 Crossroads Drive,,Crossroads Correctional Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(406) 434-7055,,657,Montana,Contract Facility,59474
625,Clayton,185 Dr. Michael Jenkins Road,,Northeast New Mexico Detention Facility,"36 26.129', -103 7.425'",36.4354833,-103.12375,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(575) 374-4005,medium,712,New Mexico,Contract Facility,88415
,Estancia,209 County Road AO49,,Torrance County Detention Facility,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(505) 384-2711,,716,New Mexico,Contract Facility,87016
600,Santa Rosa,,PO Box 520,Guadalupe County Correctional Facility,"34 54.513', -104 42.182'",34.90855,-104.7030333,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(575) 472-1001,multi,720,New Mexico,Contract Facility,
"1,200",Hobbs,,,Lea County Correctional Facility,"32 45.844', -103 13.454'",32.7640667,-103.2242333,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(575) 392.4055,multi,723,New Mexico,Contract Facility,88244
,Spruce Pine,545 Amity Park Road,,Mountain View Correctional Institution,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(828) 766-2555,,816,North Carolina,Contract Facility,28777
"2,256",Youngstown,2240 Hubbard Road,,Northeast Ohio Correctional Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(330) 746-3777,medium,860,Ohio,Contract Facility,44505
"2,160",Watonga,,,Diamondback Correctional Facility,,35.8822833,-98.3965167,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,,TN,37215,,medium,894,Oklahoma,Contract Facility,73772
,Philipsburg,555 GEO Drive,,Moshannon Valley Correctional Center,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(814) 768-1200,,931,Pennsylvania,Contract Facility,16866
600,Mason,6299 Finde Naifeh Jr. Drive,,West Tennessee Detention Facility,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(901) 294-3060,multi-level,995,Tennessee,Contract Facility,38049
,Lockhart,1400 Industrial Blvd,,Lockhart Correctional Facility,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(512) 398-3480,,1066,Texas,Contract Facility,78644
,Del Rio,253 FM 2523 Hamilton Lane,,Val Verde Correctional Facility,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(830) 778-0096,,1122,Texas,Contract Facility,78840
